generation, mean_f, mean_cr
0, 0.5000, 0.5000
1, 0.6058, 0.3670
2, 0.5386, 0.4303
3, 0.5147, 0.4742
4, 0.5075, 0.4704
5, 0.4978, 0.4715
6, 0.5214, 0.4719
7, 0.5314, 0.4764
8, 0.5340, 0.4781
9, 0.5383, 0.4872
10, 0.5425, 0.4899
11, 0.5543, 0.4903
12, 0.5544, 0.4901
13, 0.5494, 0.4900
14, 0.5450, 0.4968
15, 0.5411, 0.4958
16, 0.5311, 0.4968
17, 0.5323, 0.4952
18, 0.5334, 0.4991
19, 0.5342, 0.5005
20, 0.5308, 0.5017
21, 0.5344, 0.5006
22, 0.5310, 0.4980
23, 0.5328, 0.4914
24, 0.5298, 0.4879
25, 0.5257, 0.4905
