feature,count,min,max,max_abs,mean
DRAGONS_IN_HAND,46258536,-4,2,4,0.010731792290184
HAND_SIZE,46258536,-5,7,7,0.170505849990583
HERO_ATTACK_REDUCED,46258536,-5,9,9,0.0569358269358114
HERO_HEALTH_REDUCED,46258536,-29,22,29,0.305689202961373
JADE_PROGRESS,46258536,-2,0,2,-0.0101495429946162
M_ATTACK,108470906,0,28,28,2.65207290699683
M_HAS_CHARGE,108470906,0,1,1,0.0443315463779753
M_HAS_DEAHTRATTLE,108470906,0,1,1,0.067370756541851
M_HAS_DIVINE_SHIELD,108470906,0,1,1,0.00422839650661718
M_HAS_INSPIRE,108470906,0,0,0,0
M_HAS_LIFE_STEAL,108470906,0,1,1,0.000744577536763637
M_HAS_STEALTH,108470906,0,1,1,0.00174624705356476
M_HAS_TAUNT,108470906,0,1,1,0.0790060239747606
M_HAS_WINDFURY,108470906,0,1,1,0.00892857850749398
M_HEALTH,108470906,1,16,16,2.69941051289827
M_MANA_COST,108470906,0,25,25,2.8279751530793
M_POISONOUS,108470906,0,1,1,0.000137548403993233
M_RARITY,108470906,0,4,4,1.86840330254087
MANA_REDUCED,23129268,-1,10,10,1.51047253203171
MINION_APPEARED,5029507,1.17249795525015,23.6548148294131,23.6548148294131,5.61565589535474
MINION_ATTACK_REDUCED,95754499,-102.517209975621,826.04988166071,826.04988166071,0.299114136755019
MINION_HEALTH_REDUCED,95754499,-91.0446063155926,466.510625935615,466.510625935615,1.22979686338922
MINION_KILLED,7686900,1.17249795525015,26.3632548794561,26.3632548794561,4.38504879066009
OVERLOAD_ADDED,46258536,0,3,3,0.0113533208227774
PIRATE_SYNERGY,46258536,-8,12,12,0.0977904704982449
SECRET_REMOVED,46258536,-1,1,1,0.000125922705379176
SPELL_DAMAGE,46258536,-8,10,10,0.00373680221959467
WEAPON_DURABILITY,46258536,-8,4,8,0.0292006647162375
